18.9        .909        
24.2        .788        
30          .476        
32.3        .413        
38.1        .312        
44          .337        
49.8        .408        
55.6        .447        
59.1        .534        
61.4        .511        
70.2        .304        
73.1        .174        
78.9        .124        
83          .172        
88.2        .261        
90.5        .343        
96.4        .259        
102.2       .224        
108         .1211       
113.8       .0731       
119.7       .0551       
123.2       .1101       
128.4       .211        
134.8       .251        
137.1       .209        
143         .189        
146.4       .155        
151.7       .1237       
158.1       .1071       
160.4       .1011       
