      4.000     0.12144D+07           0.9895880         0.0001945
      6.000     0.22291D+06           0.9186461         0.0003810
      8.000     0.63105D+05           0.8207724         0.0001389
     10.000     0.22787D+05           0.7222564        -0.0011879
     12.000     0.97969D+04           0.6424680        -0.0042462
     14.000     0.48861D+04           0.5920611        -0.0091095
     16.000     0.27833D+04           0.5735996        -0.0147279
     18.000     0.17727D+04           0.5831767        -0.0191879
     20.000     0.12263D+04           0.6124999        -0.0207031
     22.000     0.89424D+03           0.6511356        -0.0182072
     24.000     0.67092D+03           0.6886651        -0.0111533
     26.000     0.50940D+03           0.7165282         0.0009119
     28.000     0.38764D+03           0.7293709         0.0185553
     30.000     0.29444D+03           0.7257717         0.0423489
     32.000     0.22338D+03           0.7082993         0.0724064
     34.000     0.17014D+03           0.6829413         0.1074701
     36.000     0.13137D+03           0.6580215         0.1436126
     38.000     0.10415D+03           0.6427884         0.1733018
     40.000     0.85927D+02           0.6458903         0.1865616
     42.000     0.74386D+02           0.6739561         0.1753522
     44.000     0.67528D+02           0.7304782         0.1385116
     46.000     0.63664D+02           0.8151374         0.0822302
     48.000     0.61437D+02           0.9236485         0.0156407
     50.000     0.59813D+02           1.0481306        -0.0537530
     52.000     0.58067D+02           1.1779385        -0.1217385
     54.000     0.55746D+02           1.3008394        -0.1868508
     56.000     0.52629D+02           1.4043816        -0.2492600
     58.000     0.48681D+02           1.4772911        -0.3099116
     60.000     0.44003D+02           1.5107358        -0.3700396
     62.000     0.38790D+02           1.4993249        -0.4309359
     64.000     0.33283D+02           1.4417472        -0.4938390
     66.000     0.27744D+02           1.3409979        -0.5598261
     68.000     0.22419D+02           1.2041884        -0.6295707
     70.000     0.17525D+02           1.0419768        -0.7027053
     72.000     0.13233D+02           0.8676894        -0.7761956
     74.000     0.96622D+01           0.6962280        -0.8403823
     76.000     0.68787D+01           0.5428694        -0.8703464
     78.000     0.48985D+01           0.4220629        -0.8129286
     80.000     0.36931D+01           0.3463256        -0.5941605
     82.000     0.31968D+01           0.3253157        -0.2148366
     84.000     0.33159D+01           0.3651449         0.1516273
     86.000     0.39378D+01           0.4679664         0.3458935
     88.000     0.49398D+01           0.6318513         0.3849933
     90.000     0.61964D+01           0.8509453         0.3472781
     92.000     0.75868D+01           1.1158778         0.2843096
     94.000     0.89998D+01           1.4143832         0.2190335
     96.000     0.10338D+02           1.7320818         0.1598836
     98.000     0.11522D+02           2.0533655         0.1093000
    100.000     0.12488D+02           2.3623282         0.0674628
    102.000     0.13194D+02           2.6436879         0.0337688
    104.000     0.13614D+02           2.8836464         0.0073774
    106.000     0.13741D+02           3.0706448        -0.0126129
    108.000     0.13582D+02           3.1959769        -0.0271357
    110.000     0.13157D+02           3.2542341        -0.0371914
    112.000     0.12500D+02           3.2435641        -0.0439143
    114.000     0.11649D+02           3.1657338        -0.0486648
    116.000     0.10650D+02           3.0260001        -0.0531516
    118.000     0.95528D+01           2.8327954        -0.0595933
    120.000     0.84056D+01           2.5972487        -0.0709278
    122.000     0.72566D+01           2.3325680        -0.0910680
    124.000     0.61502D+01           2.0533170        -0.1251558
    126.000     0.51258D+01           1.7746252        -0.1796367
    128.000     0.42161D+01           1.5113748        -0.2616538
    130.000     0.34467D+01           1.2774076        -0.3766296
    132.000     0.28353D+01           1.0847998        -0.5222171
    134.000     0.23916D+01           0.9432432        -0.6780675
    136.000     0.21174D+01           0.8595719        -0.7985836
    138.000     0.20069D+01           0.8374618        -0.8269597
    140.000     0.20483D+01           0.8773216        -0.7343113
    142.000     0.22239D+01           0.9763814        -0.5430144
    144.000     0.25121D+01           1.1289726        -0.3038086
    146.000     0.28884D+01           1.3269797        -0.0604997
    148.000     0.33270D+01           1.5604308         0.1629813
    150.000     0.38022D+01           1.8181871         0.3579461
    152.000     0.42897D+01           2.0886806         0.5232623
    154.000     0.47677D+01           2.3606473         0.6603358
    156.000     0.52178D+01           2.6238037         0.7707441
    158.000     0.56258D+01           2.8694171         0.8553698
    160.000     0.59818D+01           3.0907304         0.9142272
    162.000     0.62805D+01           3.2832131         0.9465872
    164.000     0.65209D+01           3.4446223         0.9512409
    166.000     0.67056D+01           3.5748773         0.9268500
    168.000     0.68402D+01           3.6757624         0.8723658
    170.000     0.69325D+01           3.7504900         0.7874964
    172.000     0.69913D+01           3.8031657         0.6731783
    174.000     0.70257D+01           3.8382069         0.5319756
    176.000     0.70436D+01           3.8597691         0.3683082
    178.000     0.70516D+01           3.8712329         0.1884153
    180.000     0.70538D+01           3.8747997         0.0000000
